Province,feature_name,shap_value,feature_value,base_value,predicted_pm25
Mae Hong Son,year,-0.019016877,2026.0,0.48551037907600403,0.0
Mae Hong Son,province_label,0.0,4.0,0.48551037907600403,0.0
Mae Hong Son,province_target_enc,0.0,12.911837294332724,0.48551037907600403,0.0
Mae Hong Son,temp_x_humidity,0.08894602,24.444000000000003,0.48551037907600403,0.0
Mae Hong Son,hotspot_x_haze,1.7898201e-06,0.0,0.48551037907600403,0.0
Mae Hong Son,frp_x_haze,-0.00076482544,0.0,0.48551037907600403,0.0
Mae Hong Son,wind_x_hotspot,2.2346503e-05,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_lag_1h,-11.317669,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_lag_2h,-0.56665915,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_lag_3h,-0.0065220525,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_lag_6h,-0.0153002,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_lag_12h,0.0653349,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_lag_24h,-1.6943109,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_lag_48h,-0.18047564,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_lag_72h,-0.0462148,0.0,0.48551037907600403,0.0
Mae Hong Son,hotspot_lag_24h,-0.007838201,0.0,0.48551037907600403,0.0
Mae Hong Son,hotspot_lag_48h,-0.008550759,0.0,0.48551037907600403,0.0
Mae Hong Son,hotspot_lag_72h,-0.005198681,0.0,0.48551037907600403,0.0
Mae Hong Son,frp_sum_lag_24h,-0.0031248631,0.0,0.48551037907600403,0.0
Mae Hong Son,frp_sum_lag_48h,-0.008021253,0.0,0.48551037907600403,0.0
Mae Hong Son,frp_sum_lag_72h,-0.0031433539,0.0,0.48551037907600403,0.0
Mae Hong Son,hotspot_log_lag_24h,-0.0027628038,0.0,0.48551037907600403,0.0
Mae Hong Son,hotspot_log_lag_48h,-0.0023111384,0.0,0.48551037907600403,0.0
Mae Hong Son,hotspot_log_lag_72h,-0.0019609588,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_roll_mean_3h,-2.0823393,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_roll_mean_6h,-0.010184211,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_roll_mean_12h,-0.0082183825,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_roll_mean_24h,-0.38704544,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_roll_mean_48h,0.00021325657,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_roll_mean_168h,0.077719405,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_roll_std_3h,0.0689688,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_roll_std_6h,0.07781037,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_roll_std_12h,-0.12012962,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_roll_std_24h,0.026313683,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_roll_std_48h,-0.035750657,0.0,0.48551037907600403,0.0
Mae Hong Son,pm25_roll_std_168h,0.005743266,0.0,0.48551037907600403,0.0
